benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
polybench/jacobi-2d-imper,serial,unpinned,-1,4,0,1.402,1.314694299,1744.10 2121.25 1913.55
polybench/jacobi-2d-imper,serial,unpinned,-1,5,0,1.3944,1.306578704,1744.10 2121.25 1913.55
polybench/jacobi-2d-imper,serial,unpinned,-1,6,0,1.4014,1.313038138,1744.10 2121.25 1913.55
polybench/jacobi-2d-imper,serial,unpinned,-1,7,0,1.3903,1.305415817,1606.76 2086.51 1903.43
polybench/jacobi-2d-imper,serial,unpinned,-1,8,0,1.4009,1.314266318,1606.76 2086.51 1903.43
polybench/jacobi-2d-imper,serial,unpinned,-1,9,0,1.3839,1.296626426,1606.76 2086.51 1903.43
polybench/jacobi-2d-imper,serial,unpinned,-1,10,0,1.3914,1.306475485,1478.49 2051.95 1893.23
polybench/jacobi-2d-imper,serial,4_lanes,2,1,0,,1.364094401,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,2,2,0,,1.380630176,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,2,3,0,,1.382792412,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,2,4,0,,1.367579947,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,2,5,0,,1.370326076,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,2,6,0,,1.377060073,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,2,7,0,,1.374031532,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,2,8,0,,1.372036099,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,2,9,0,,1.381645286,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,2,10,0,,1.365203513,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,1,0,,1.383641046,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,2,0,,1.379468418,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,3,0,,1.373288776,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,4,0,,1.3695759,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,5,0,,1.378733814,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,6,0,,1.370568548,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,7,0,,1.381329892,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,8,0,,1.387374874,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,9,0,,1.360865902,1152.25 1951.72 1862.98
polybench/jacobi-2d-imper,serial,4_lanes,3,10,0,,1.381667625,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,1,1,0.0011,,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,2,1,0.0015,,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,3,1,0.0011,,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,4,1,0.0011,,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,5,1,0.0006,,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,6,1,0.0008,,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,7,1,0.0013,,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,8,1,0.0013,,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,9,1,0.0013,,1152.25 1951.72 1862.98
tsvc/s211,serial,alone,0,10,1,0.0007,,1152.25 1951.72 1862.98
