run_id,benchmark,kernel,group,arm,model,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
e10,rodinia-3.1/hotspot,hotspot,A,full,claude-haiku-4-5-20251001,1,3,"no-change,no-change,no-change",False,1.0,parallel-not-faster,0.973,0.973,True,1,2,gained-not-faster
e10,rodinia-3.1/hotspot,hotspot,A,full,claude-haiku-4-5-20251001,2,3,"no-change,no-change,no-change",False,1.0,parallel-not-faster,0.086,0.086,True,0,1,worse
e10,rodinia-3.1/hotspot,hotspot,A,full,claude-haiku-4-5-20251001,3,3,"no-change,no-change,no-change",False,1.0,parallel-not-faster,0.077,0.077,True,0,6,worse
e10,rodinia-3.1/hotspot,hotspot,A,speed_gate_large,claude-haiku-4-5-20251001,1,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,6,neither
e10,rodinia-3.1/hotspot,hotspot,A,speed_gate_large,claude-haiku-4-5-20251001,2,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,8,neither
e10,rodinia-3.1/hotspot,hotspot,A,speed_gate_large,claude-haiku-4-5-20251001,3,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,3,neither
e10,rodinia-3.1/hotspot,hotspot,A,speed_gate_small,claude-haiku-4-5-20251001,1,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,6,neither
e10,rodinia-3.1/hotspot,hotspot,A,speed_gate_small,claude-haiku-4-5-20251001,2,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,6,neither
e10,rodinia-3.1/hotspot,hotspot,A,speed_gate_small,claude-haiku-4-5-20251001,3,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,6,neither
e10_lu_fix84,polybench/lu,lu,C,full,claude-haiku-4-5-20251001,1,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,FASTER,2.72,12.83,True,1,1,better
e10_lu_fix84,polybench/lu,lu,C,full,claude-haiku-4-5-20251001,2,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,FASTER,2.901,13.684,True,1,1,better
e10_lu_fix84,polybench/lu,lu,C,full,claude-haiku-4-5-20251001,3,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,FASTER,10.172,47.981,True,1,1,better
e10_lu_fix84,polybench/lu,lu,C,speed_gate_large,claude-haiku-4-5-20251001,1,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,FASTER,2.8,13.208,True,1,1,better
e10_lu_fix84,polybench/lu,lu,C,speed_gate_large,claude-haiku-4-5-20251001,2,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,FASTER,4.209,19.854,True,1,1,better
e10_lu_fix84,polybench/lu,lu,C,speed_gate_large,claude-haiku-4-5-20251001,3,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,FASTER,1.686,7.953,True,1,1,better
e10_lu_fix84,polybench/lu,lu,C,speed_gate_small,claude-haiku-4-5-20251001,1,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,no-change,1.0,4.717,True,0,7,lost
e10_lu_fix84,polybench/lu,lu,C,speed_gate_small,claude-haiku-4-5-20251001,2,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,no-change,1.0,4.717,True,0,6,lost
e10_lu_fix84,polybench/lu,lu,C,speed_gate_small,claude-haiku-4-5-20251001,3,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,no-change,1.0,4.717,True,0,6,lost
