benchmark,kind,line,function,applicable,pragma,in_main,in_excluded_function,on_scaffolding,end
polybench/2mm,do_all,36,init_array,True,#pragma omp parallel for,False,True,False,36
polybench/2mm,do_all,40,init_array,True,#pragma omp parallel for,False,True,False,40
polybench/2mm,do_all,39,init_array,True,#pragma omp parallel for,False,True,False,39
polybench/2mm,do_all,43,init_array,True,#pragma omp parallel for,False,True,False,43
polybench/2mm,do_all,42,init_array,True,#pragma omp parallel for,False,True,False,42
polybench/2mm,do_all,46,init_array,True,#pragma omp parallel for,False,True,False,46
polybench/2mm,do_all,45,init_array,True,#pragma omp parallel for,False,True,False,45
polybench/2mm,do_all,88,kernel_2mm,True,#pragma omp parallel for,False,False,False,88
polybench/2mm,do_all,85,kernel_2mm,True,#pragma omp parallel for,False,False,False,85
polybench/2mm,do_all,84,kernel_2mm,True,#pragma omp parallel for,False,False,False,84
polybench/2mm,do_all,95,kernel_2mm,True,#pragma omp parallel for,False,False,False,95
polybench/2mm,do_all,92,kernel_2mm,True,#pragma omp parallel for,False,False,False,92
polybench/2mm,do_all,91,kernel_2mm,True,#pragma omp parallel for,False,False,False,91
polybench/2mm,do_all,60,print_array,True,#pragma omp parallel for,False,True,False,60
polybench/2mm,do_all,59,print_array,True,#pragma omp parallel for,False,True,False,59
polybench/2mm,do_all,88,polybench_flush_cache,True,#pragma omp parallel for,False,True,False,88
polybench/3mm,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/3mm,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/3mm,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/3mm,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/3mm,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/3mm,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/3mm,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/3mm,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/3mm,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/3mm,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/3mm,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/3mm,task,340,polybench_timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,347
polybench/3mm,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/3mm,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/3mm,task,328,polybench_timer_start,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,334
polybench/3mm,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/3mm,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/3mm,task,318,polybench_prepare_instruments,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,323
polybench/3mm,task,121,main,False,['#pragma omp task'],True,True,False,122
polybench/3mm,task,121,main,False,['#pragma omp task'],True,True,False,122
polybench/3mm,task,121,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,False,122
polybench/3mm,do_all,137,main,True,#pragma omp parallel for,True,True,True,137
