benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
polybench/jacobi-2d-imper,serial,unpinned,-1,9,0,1.4162,1.330827697,6000.32 4337.07 3327.70
polybench/jacobi-2d-imper,serial,unpinned,-1,10,0,1.4308,1.346621692,6000.32 4337.07 3327.70
polybench/jacobi-2d-imper,serial,2_lanes,0,1,0,,1.423675683,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,0,2,0,,1.425441564,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,0,3,0,,1.419991004,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,0,4,0,,1.473511025,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,0,5,0,,1.430379769,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,0,6,0,,1.422448611,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,0,7,0,,1.429665883,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,0,8,0,,1.430187857,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,0,9,0,,1.409875998,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,0,10,0,,1.373881695,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,1,0,,1.434796013,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,2,0,,1.42481285,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,3,0,,1.419386781,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,4,0,,1.44550296,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,5,0,,1.430298659,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,6,0,,1.426155028,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,7,0,,1.445447598,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,8,0,,1.438066804,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,9,0,,1.422324509,5700.66 4356.59 3350.50
polybench/jacobi-2d-imper,serial,2_lanes,1,10,0,,1.384335221,5700.66 4356.59 3350.50
tsvc/s211,serial,alone,0,1,0,1.8294,1.415236266,5700.66 4356.59 3350.50
tsvc/s211,serial,alone,0,2,0,1.8299,1.404572488,6099.63 4461.62 3389.89
tsvc/s211,serial,alone,0,3,0,1.7779,1.404806169,6099.63 4461.62 3389.89
tsvc/s211,serial,alone,0,4,0,1.8051,1.428593341,6099.63 4461.62 3389.89
tsvc/s211,serial,alone,0,5,0,1.798,1.428151648,6363.52 4543.52 3422.14
tsvc/s211,serial,alone,0,6,0,1.805,1.42709589,6363.52 4543.52 3422.14
tsvc/s211,serial,alone,0,7,0,1.8134,1.430184842,6363.52 4543.52 3422.14
tsvc/s211,serial,alone,0,8,0,1.8181,1.432486368,6559.03 4614.27 3451.05
tsvc/s211,serial,alone,0,9,0,1.8131,1.427590722,6559.03 4614.27 3451.05
tsvc/s211,serial,alone,0,10,0,1.8122,1.427658842,6694.12 4674.56 3476.81
tsvc/s211,serial,unpinned,-1,1,0,1.8053,1.428044534,6694.12 4674.56 3476.81
tsvc/s211,serial,unpinned,-1,2,0,1.812,1.433719284,6694.12 4674.56 3476.81
tsvc/s211,serial,unpinned,-1,3,0,1.8129,1.429291971,6736.47 4716.87 3496.93
tsvc/s211,serial,unpinned,-1,4,0,1.8081,1.426833194,6736.47 4716.87 3496.93
tsvc/s211,serial,unpinned,-1,5,0,1.775,1.402316374,6736.47 4716.87 3496.93
tsvc/s211,serial,unpinned,-1,6,0,1.776,1.412392407,6663.08 4735.18 3509.41
tsvc/s211,serial,unpinned,-1,7,0,1.7818,1.415307288,6663.08 4735.18 3509.41
tsvc/s211,serial,unpinned,-1,8,0,1.7953,1.422787352,6663.08 4735.18 3509.41
tsvc/s211,serial,unpinned,-1,9,0,1.776,1.403838014,6370.39 4706.51 3506.71
tsvc/s211,serial,unpinned,-1,10,0,1.7639,1.402462914,6370.39 4706.51 3506.71
tsvc/s211,serial,2_lanes,0,1,0,,1.456477166,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,0,2,0,,1.467558666,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,0,3,0,,1.456714176,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,0,4,0,,1.461373389,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,0,5,0,,1.461844872,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,0,6,0,,1.460547512,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,0,7,0,,1.455843008,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,0,8,0,,1.455096372,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,0,9,0,,1.463724723,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,0,10,0,,1.435423117,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,1,0,,1.447072147,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,2,0,,1.459402586,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,3,0,,1.467058482,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,4,0,,1.465408439,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,5,0,,1.460464682,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,6,0,,1.460996205,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,7,0,,1.449132308,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,8,0,,1.446422698,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,9,0,,1.447794657,6757.77 4911.40 3600.18
tsvc/s211,serial,2_lanes,1,10,0,,1.429127342,6757.77 4911.40 3600.18
