== polybench/2mm
  discopop_cc: rc=0 0.3s
  ./a.out: rc=0 0.2s
  seed=7 run 16: rc=0 3.89s 27a8158733 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 60, 'do_all': 22, 'reduction': 0}
  seed=7 run 17: rc=0 3.44s 430bdad2e5 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 12, 'do_all': 22, 'reduction': 0}
  seed=7 run 18: rc=0 3.9s f93d8ebb9a {'optimizer_output': 0, 'merged_pattern': 0, 'task': 57, 'do_all': 22, 'reduction': 2}
  seed=7 run 19: rc=0 3.29s 182a7f94a5 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 18, 'do_all': 22, 'reduction': 0}
  seed=7 run 20: rc=0 3.05s 8339111e64 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 15, 'do_all': 22, 'reduction': 0}
== rodinia-3.1/pathfinder
  discopop_cxx: rc=0 0.5s
  ./a.out: rc=0 2.7s
  seed=free run 1: rc=0 4.25s d04afb627d {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=free run 2: rc=0 4.3s 2c79eb9147 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=free run 3: rc=0 4.29s 9a344d5698 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=free run 4: rc=0 4.09s ab33b161dc {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=free run 5: rc=0 4.41s 3456d24772 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=free run 6: rc=0 4.44s 71e17edabe {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=free run 7: rc=0 4.57s deaa5745d5 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
