benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
tsvc/s211,polly_parallel,4_lanes,1,5,0,,1.156883207,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,1,6,0,,1.138609842,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,1,7,0,,1.160969307,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,1,8,0,,1.153178833,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,1,9,0,,1.161474259,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,1,10,0,,1.150882927,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,1,0,,1.178951598,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,2,0,,1.14448984,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,3,0,,1.146770966,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,4,0,,1.169167501,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,5,0,,1.15146531,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,6,0,,1.153704595,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,7,0,,1.171959782,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,8,0,,1.142901682,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,9,0,,1.150834376,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,2,10,0,,1.154859625,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,1,0,,1.155728158,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,2,0,,1.158742159,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,3,0,,1.139842208,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,4,0,,1.145770589,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,5,0,,1.164463579,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,6,0,,1.162122674,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,7,0,,1.162469596,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,8,0,,1.164086478,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,9,0,,1.157536042,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,3,10,0,,1.153415766,4.77 3.06 61.66
tsvc/s254,serial,alone,0,1,0,5.0712,2.992123306,4.62 3.06 61.35
tsvc/s254,serial,alone,0,2,0,5.3705,3.085142572,4.49 3.06 61.03
tsvc/s254,serial,alone,0,3,0,5.312,2.963731473,4.37 3.06 60.72
tsvc/s254,serial,alone,0,4,0,5.3018,2.910231845,4.26 3.06 60.41
tsvc/s254,serial,alone,0,5,0,5.4474,3.044734526,4.16 3.05 60.10
tsvc/s254,serial,alone,0,6,0,5.5077,3.05940052,4.07 3.05 59.80
tsvc/s254,serial,alone,0,7,0,5.4889,3.041729119,4.06 3.07 59.50
tsvc/s254,serial,alone,0,8,0,5.4327,2.982994025,3.90 3.07 58.89
tsvc/s254,serial,alone,0,9,0,5.3208,2.898575843,3.83 3.07 58.59
tsvc/s254,serial,alone,0,10,0,5.3496,2.898716856,3.92 3.10 58.30
tsvc/s254,serial,unpinned,-1,1,0,6.1303,3.564967287,3.85 3.10 58.01
tsvc/s254,serial,unpinned,-1,2,0,5.3469,2.944640747,3.78 3.09 57.71
tsvc/s254,serial,unpinned,-1,3,0,5.5541,3.1227151,3.72 3.09 57.42
tsvc/s254,serial,unpinned,-1,4,0,5.4286,2.971667487,3.66 3.09 57.12
tsvc/s254,serial,unpinned,-1,5,0,5.5061,3.068433498,3.61 3.09 56.83
tsvc/s254,serial,unpinned,-1,6,0,5.9901,3.45848099,3.59 3.10 56.26
tsvc/s254,serial,unpinned,-1,7,0,6.4914,3.853133804,3.54 3.10 55.97
tsvc/s254,serial,unpinned,-1,8,0,5.3964,2.948219102,3.50 3.10 55.69
tsvc/s254,serial,unpinned,-1,9,0,5.439,2.98966454,3.45 3.10 55.41
tsvc/s254,serial,unpinned,-1,10,0,6.1359,3.686290585,3.50 3.11 55.13
tsvc/s254,serial,4_lanes,0,1,0,,3.083562123,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,0,2,0,,3.113897825,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,0,3,0,,3.103626786,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,0,4,0,,3.070133785,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,0,5,0,,3.085870615,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,0,6,0,,3.029453926,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,0,7,0,,3.085930759,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,0,8,0,,3.025840394,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,0,9,0,,3.031388555,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,0,10,0,,3.089741929,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,1,0,,3.141766316,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,2,0,,3.075445169,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,3,0,,3.085863002,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,4,0,,3.122599678,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,5,0,,3.141966054,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,6,0,,3.085365723,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,7,0,,3.12649936,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,8,0,,3.024700406,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,9,0,,3.075401861,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,1,10,0,,3.115003945,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,1,0,,3.058450349,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,2,0,,3.060956458,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,3,0,,3.043316858,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,4,0,,3.102600989,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,5,0,,3.069886645,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,6,0,,3.188413387,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,7,0,,3.203517174,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,8,0,,3.12353595,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,9,0,,3.154492968,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,2,10,0,,3.16780324,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,1,0,,3.112391353,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,2,0,,3.08294271,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,3,0,,3.085770031,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,4,0,,3.083730538,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,5,0,,3.085491822,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,6,0,,3.13543924,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,7,0,,3.150503086,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,8,0,,3.02533003,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,9,0,,3.052756573,5.14 3.64 52.32
tsvc/s254,serial,4_lanes,3,10,0,,3.106408375,5.14 3.64 52.32
tsvc/s254,polly_parallel,alone,0,1,0,5.3163,2.93086709,4.81 3.62 51.79
tsvc/s254,polly_parallel,alone,0,2,0,5.4545,3.06341987,4.67 3.61 51.53
tsvc/s254,polly_parallel,alone,0,3,0,5.3044,2.971895707,4.53 3.60 51.26
tsvc/s254,polly_parallel,alone,0,4,0,5.3416,2.968666436,4.41 3.59 51.01
tsvc/s254,polly_parallel,alone,0,5,0,5.2748,2.932824879,4.30 3.58 50.75
tsvc/s254,polly_parallel,alone,0,6,0,5.3543,2.997722199,4.19 3.57 50.49
tsvc/s254,polly_parallel,alone,0,7,0,5.2842,2.933573986,4.10 3.56 50.23
tsvc/s254,polly_parallel,alone,0,8,0,5.3849,3.029797344,4.09 3.57 49.99
tsvc/s254,polly_parallel,alone,0,9,0,5.4083,3.037783861,4.00 3.56 49.73
tsvc/s254,polly_parallel,alone,0,10,0,5.3042,2.961306252,3.92 3.55 49.48
tsvc/s254,polly_parallel,unpinned,-1,1,0,5.3459,2.990147893,3.85 3.54 49.23
tsvc/s254,polly_parallel,unpinned,-1,2,0,5.2906,2.974929049,3.78 3.53 48.98
tsvc/s254,polly_parallel,unpinned,-1,3,0,5.36,3.012247949,3.72 3.52 48.74
tsvc/s254,polly_parallel,unpinned,-1,4,0,5.4035,3.081647951,3.66 3.51 48.49
tsvc/s254,polly_parallel,unpinned,-1,5,0,7.2227,4.722698235,3.56 3.50 48.00
tsvc/s254,polly_parallel,unpinned,-1,6,0,5.3036,3.018055803,3.51 3.49 47.76
tsvc/s254,polly_parallel,unpinned,-1,7,0,7.4333,4.904514999,3.47 3.48 47.52
tsvc/s254,polly_parallel,unpinned,-1,8,0,5.5105,3.156597416,3.40 3.46 47.04
tsvc/s254,polly_parallel,unpinned,-1,9,0,5.1823,2.925984928,3.85 3.55 46.84
tsvc/s254,polly_parallel,unpinned,-1,10,0,5.4196,3.130284326,3.78 3.55 46.60
tsvc/s254,polly_parallel,4_lanes,0,1,0,,3.142814454,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,0,2,0,,3.055019126,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,0,3,0,,3.119751787,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,0,4,0,,3.137143169,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,0,5,0,,3.014832471,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,0,6,0,,3.085320871,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,0,7,0,,3.09231602,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,0,8,0,,3.08057636,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,0,9,0,,3.166351727,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,0,10,0,,3.14081784,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,1,0,,3.156439979,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,2,0,,3.095589878,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,3,0,,3.091258639,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,4,0,,3.1286933,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,5,0,,3.087720976,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,6,0,,3.144435702,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,7,0,,3.140595556,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,8,0,,3.177915115,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,9,0,,3.136979313,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,1,10,0,,3.114933221,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,2,1,0,,3.081270108,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,2,2,0,,3.05839899,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,2,3,0,,3.17360557,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,2,4,0,,3.116703887,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,2,5,0,,3.138653139,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,2,6,0,,3.087172813,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,2,7,0,,3.126756359,5.48 4.02 44.50
