benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
polybench/2mm,polly_parallel,4_lanes,0,8,0,,0.212822653,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,0,9,0,,0.21226114,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,0,10,0,,0.212418601,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,1,0,,0.211611286,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,2,0,,0.212609013,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,3,0,,0.214896437,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,4,0,,0.216575938,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,5,0,,0.213564488,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,6,0,,0.213063655,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,7,0,,0.214621735,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,8,0,,0.215165748,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,9,0,,0.219016173,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,1,10,0,,0.213166815,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,1,0,,0.214235012,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,2,0,,0.213077226,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,3,0,,0.214405454,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,4,0,,0.214594124,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,5,0,,0.213532038,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,6,0,,0.214097962,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,7,0,,0.21382169,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,8,0,,0.215025158,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,9,0,,0.213973741,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,2,10,0,,0.214824836,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,1,0,,0.215229109,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,2,0,,0.214687385,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,3,0,,0.214189422,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,4,0,,0.214817546,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,5,0,,0.214396004,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,6,0,,0.213761959,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,7,0,,0.213980041,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,8,0,,0.215650351,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,9,0,,0.214482664,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,3,10,0,,0.215657042,14.46 103.92 182.56
